company_name,original_domain,domain,domain_status,domain_confidence,heavy_equipment,category,qualification_source,us_based,notes,issue_flagged
All County Rentals & Hauling,allcountyrentalshauling.com,allcountyrentalshauling.com,original,,Yes,general equipment rental,AI review (name/domain),,Equipment rental and hauling,
All Crane Service LLC,allcraneservice.com,allcraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
All In Rentals (AIR),airattleboro.com,airattleboro.com,original,,Yes,general equipment rental,AI review (name/domain),,Rent-all incl. construction equipment,
All Med Equipment,allmedequipment.com,allmedequipment.com,original,,No,,name/domain rules,,"name: ""equipment"" qualified by non-heavy term ""med""",
All Occasions Party Rentals,,aopr.net,found,low,No,party rental,web search,yes,All Occasions Party Rentals Knoxville TN; other similar-name firms exist,missing
All Pro Rigging,allprorigging.com,allprorigging.com,original,,Yes,,name/domain rules,,"name: ""rigg(ing|ers)""",
ALL Seasons Tree Services,allseasonstreellc.com,allseasonstreellc.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""tree (service|care|removal)""",
"All Valley Crane, Inc.",allvalleycranesvc.com,allvalleycranesvc.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Alley Cat Crane Service,alleycatcrane.com,alleycatcrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Alliance Crane Service,alliancecraneservice.com,alliancecraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Alliance Tool Rentals,alliancetoolrentals.com,alliancetoolrentals.com,original,,Yes,general tool rental,AI review (name/domain),,Tool and equipment rental,
Allied Equipment Rentals,alliedequipmentllc.com,alliedequipmentllc.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Allingham Corporation,allinghamcorp.com,allinghamcorp.com,original,,No,construction,AI review (name/domain),,General contractor,
Allseasonrentals559,allseasonrentals559.com,allseasonrentals559.com,original,,No,party rental,AI review (name/domain),,Event rentals,
Alpha Axes TX,alphaaxestx.com,alphaaxestx.com,original,,No,entertainment,AI review (name/domain),,Axe throwing,
Alpha Crane,alpha-crane.com,alpha-crane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Alpha Trailer and Equipment Rental,,alphatande.com,found,high,Yes,dump trailer rental,name/domain rules,yes,"Alpha Trailer and Equipment Rental, Noblesville IN official site",missing
Alpine crane service,,,not_found,medium,Yes,crane service,web search,yes,Alpine Crane Service Corvallis OR; only Facebook/directories,missing
Alpine West Cranes,,alpinewest.com,found,low,Yes,crane service,web search,yes,Minden NV; domain from company email jdelucchi@alpinewest.com only,missing
Alta Event Rental,altaeventrental.com,altaeventrental.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
AM Equipment LLC,,,not_found,low,Yes,site work contractor,name/domain rules,yes,AM Equipment (Akwesasne NY) found; no own website seen,missing
Aman Construction Equipment,amanequipment.com,amanequipment.com,original,,Yes,,name/domain rules,,"name: ""construction equip""",
AMD Trailer Rental,amdtrailerrental.com,amdtrailerrental.com,original,,No,trailer rental,AI review (name/domain),,Trailer-only,
American Aerial Services Inc,americanaerialservices.com,americanaerialservices.com,original,,Yes,,name/domain rules,,"name: ""aerial""",
American Crane Services,americancraneservices.com,americancraneservices.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
American Equipment Rentals,americanrentals.org,americanrentals.org,original,,Yes,,name/domain rules,,"name: ""equipment""",
"American Forklift Company, LLC",amliftco.com,amliftco.com,verified_existing,high,Yes,forklift dealer,web search,yes,"American Forklift Company LLC, Greenfield WI official site",domain does not match name
American Lifting Crane Service,bookamericanlifting.com,bookamericanlifting.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
American Lifts USA,americanliftsusa.com,americanliftsusa.com,original,,Yes,,name/domain rules,,"name: ""lifts""",
American Machinery Liquidators,americanmachinery.com,americanmachinery.com,original,,Yes,,name/domain rules,,"name: ""machinery""",
American Pride Crane,commercialcraneslongmont.com,commercialcraneslongmont.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
AmPro Tool Rentals LLC,amprorentals.com,amprorentals.com,original,,Yes,general tool rental,AI review (name/domain),,Tool and equipment rental,
"Amstaff Crane, Inc.",,,not_found,medium,Yes,crane service,web search,yes,Crystal Lake IL crane rental; only Facebook/directories found,missing
Anchai Repair Solutions — Mobile Equipment and Auto Repair,anchairepairs.com,anchairepairs.com,original,,No,,name/domain rules,,"name: ""equipment"" qualified by non-heavy term ""auto(motive)""",
Anda Trailer Rentals,andatrailerrentals.com,andatrailerrentals.com,original,,No,trailer rental,AI review (name/domain),,Trailer-only,
Anderson Crane Service,,,not_found,low,Yes,crane service,web search,yes,Multiple Anderson Crane Service firms in CA; no own site,missing
"Andy's Tractor Repair, LLC",andystractorrepair.com,andystractorrepair.com,original,,Yes,,name/domain rules,,"name: ""tractors""",
Anerican Forklift Scale,americanforkliftscale.com,americanforkliftscale.com,original,,Yes,,name/domain rules,,"name: ""fork lifts""",
Angeles Party Rentals,angelespartyrentals.com,angelespartyrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Angelitos Jumpers Party and Events Rentals,angelitosjumpers.com,angelitosjumpers.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Anil Rana core cutting slab cutting service,coreconcretecutting.in,,not_found,medium,No,concrete cutting,web search,no,non-US; Indian business (.in domain),non-US domain
Ann Arbor Excavating Company,excavatingannarbor.com,excavatingannarbor.com,original,,Yes,,name/domain rules,,"name: ""excavat""",
APEX CRANE Boom Truck Service LLC,apexcranefl.wixsite.com,apexcranefl.wixsite.com,verified_existing,low,Yes,crane service,web search,yes,"Hollywood FL boom truck firm; Wix builder site, no custom domain found",platform/listing domain
APEX Crane Service LLC,apexcraneservicellc.com,apexcraneservicellc.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Apex Crane Services LLC,apexcraneserviceswi.com,apexcraneserviceswi.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
"Apex Forklift Solutions, LLC",apexforkliftsolutions.com,apexforkliftsolutions.com,original,,Yes,,name/domain rules,,"name: ""fork lifts""",
Arch Rental Solutions LLC,,,not_found,medium,No,dumpster rental,web search,yes,Rogers AR dumpster rental; only Facebook/Nextdoor,missing
Arctic AC Rentals,arcticsacrentals.com,arcticsacrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""ac""",
Arctic Machinery,,,not_found,low,Yes,machinery,name/domain rules,yes,Arctic Machinery LLC Bayonne NJ; only directories,missing
Arena Crane and Rigging,arenacrane.com,arenacrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
"Arizona Construction Equipment, Inc.",azce.com,azce.com,verified_existing,high,Yes,construction equipment dealer,web search,yes,"AZCE = Arizona Construction Equipment Inc, Phoenix official site",domain does not match name
Arizona Crane,,,not_found,low,Yes,crane service,web search,yes,No company named exactly Arizona Crane found,missing
Arizona Tractor Sales,arizonatractorsales.com,arizonatractorsales.com,original,,Yes,,name/domain rules,,"name: ""tractors""",
"Arrow Crane & Rigging, LLC",wisconsincraneservices.com,wisconsincraneservices.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Art's Party Rentals,artspartyrentals.com,artspartyrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Asap Mobile Diesel & Auto Repair and Roadside Service,asapmobilediesel.com,asapmobilediesel.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""auto(motive)""",
ATL AV Rentals,,,not_found,low,No,AV rental,web search,yes,No exact ATL AV Rentals site found,missing
Atlanta Dehumidifier Rental,,atlantasdehumidifierrental.com,found,high,No,dehumidifier rental,web search,yes,Atlanta Dehumidifier Rental official site,missing
Atlantic Rental,,atlanticrentalandm.wixsite.com,found,low,Yes,construction equipment rental,web search,yes,Atlantic Equipment Rental Ellsworth ME Wix site; name ambiguous,missing
Atlas On-Site Welding & Mechanical,atlasonsitewelding.com,atlasonsitewelding.com,original,,No,welding,AI review (name/domain),,Welding service,
AV Group,avgroupny.com,avgroupny.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""av""",
AVC Bounce Rentals,,,not_found,low,No,party rental,web search,unknown,No AVC Bounce Rentals site found,missing
"AZ Tractor Works, LLC",aztractorworks.com,aztractorworks.com,original,,Yes,,name/domain rules,,"name: ""tractors""",
B & B Lift Truck Service,bnblifttruck.com,bnblifttruck.com,original,,Yes,,name/domain rules,,"name: ""lift trucks""",
B&B Services of Florida,b-bsfl.com,b-bsfl.com,original,,No,services,AI review (name/domain),,Not equipment,
B. East Grading Services LLC,beastgrading.com,beastgrading.com,original,,Yes,excavation contractor,AI review (name/domain),,Grading with own equipment,
B W Strayhorn Co Inc,bwstrayhorn.com,bwstrayhorn.com,original,,No,contractor,AI review (name/domain),,Mechanical contractor,
Baby's Away - Chicago,babysaway.com,babysaway.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""baby""",
"Babyquip Baby Gear Rental, Mayden Coloma",babyquip.com,babyquip.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""baby""",
Backyard Aces,backyardaces.com,backyardaces.com,original,,No,party rental,AI review (name/domain),,Backyard games,
Baker & Baker Crane Service,towing-woodburn.com,towing-woodburn.com,verified_existing,high,Yes,heavy towing & crane service,web search,yes,"Baker & Baker Towing & Crane, Woodburn OR official site",domain does not match name
Bash and Bounce-Reno/Tahoe Modern Bounce Houses,bashandbounce.com,bashandbounce.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""bounce""",
Battlefield Equipment Rentals,battlefieldequipment.ca,,not_found,high,Yes,construction equipment rental,web search,no,non-US; Canadian Cat rental dealer (battlefieldequipment.ca),non-US domain
Bay Area Moving Co,bayareamove.com,bayareamove.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""moving""",
Bay Machine Works,baymachineworks.com,baymachineworks.com,original,,Yes,,name/domain rules,,"name: ""machines""",
BBi Material Handling & Office Solutions (BIG Boi Installations & Services),bbi4work.com,bbi4work.com,original,,Yes,,name/domain rules,,"name: ""material handling""",
BCM Crane Services,bcmcraneservices.com,bcmcraneservices.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Beaverton Trailer Rentals,beavertontrailerrentals.com,beavertontrailerrentals.com,original,,No,trailer rental,AI review (name/domain),,Trailer-only,
Beckett AVL Production LLC,,beckettavlprod.com,found,high,No,AV production,web search,yes,"Beckett AVL Production LLC official site, Georgia",missing
Bellingham Grip,bellinghamgrip.com,bellinghamgrip.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""grip""",
Ben's Crane Service LLC.,benscraneservice.com,benscraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
"Bender Rents, LLC - Bellingham Excavator Rental",benderrents.com,benderrents.com,original,,Yes,,name/domain rules,,"name: ""excavat""",
Benson Crane,bensoncrane.net,bensoncrane.net,original,,Yes,,name/domain rules,,"name: ""cranes""",
Berg Equipment,bergequipment.ca,bergequipment.com,replaced,medium,Yes,ag equipment manufacturer,web search,yes,"Berg Equipment Corp, Marshfield WI farm machinery; .com site found",non-US domain
Berkeley Scaffolding Rental,berkeleyscaffolding.com,berkeleyscaffolding.com,original,,No,scaffolding rental,AI review (name/domain),,Scaffolding-only,
Best Crane & Rigging Inc,bestcraneinc.com,bestcraneinc.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Best Crane Service Inc,bestcranesvc.com,bestcranesvc.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Best in Tents,bestintents.com,bestintents.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""tents""",
Best Rentals NWA,bestrentalsnwa.com,bestrentalsnwa.com,original,,Yes,general equipment rental,AI review (name/domain),,Equipment rental NWA,
Bethel Crane,bethelcrane.com,bethelcrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Big Daddy Cranes,,,not_found,low,Yes,crane service,web search,yes,Midland TX crane co; only directory listings found,missing
Big Fella’s crane,bfcrane.com,bfcrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Big Iron Intl,bigironintl.com,bigironintl.com,original,,Yes,heavy equipment dealer,AI review (name/domain),,Big iron equipment sales,
Big Stuff Equipment Sales,bigstuffequipmentsales.com,bigstuffequipmentsales.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
BiTS Cctv Camera Shop,,,not_found,medium,No,CCTV retailer,web search,no,non-US; BiTS CCTV is Bradford UK (bitscctv.co.uk),missing
BL Equipment Rental and Supplies,,blequipmentrental.com,found,medium,Yes,construction equipment rental,web search,yes,"BL Equipment Rental LLC, Northern California site",missing
Black Falcon Rentals,blackfalconrentals.com,blackfalconrentals.com,original,,No,party rental,AI review (name/domain),,Likely event/vehicle rentals,
Blaine's Crane Service,,blainescrane.com,found,high,Yes,crane service,web search,yes,Pleasant Prairie WI crane service official site,missing
Blaster Bash Party Rentals LLC,blasterbashpartyrentals.com,blasterbashpartyrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Blue Crane LLC,bluecrane.us,bluecrane.us,original,,Yes,,name/domain rules,,"name: ""cranes""",
Blue Dog Equipment,bluedogga.com,bluedogga.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Blue Line Crane LLC,bluelinecrane.com,bluelinecrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Blue Oceans Equipment And Rentals,blueoceansequipment.com,blueoceansequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Blueprint Rentals,blueprintrentals.net,blueprintrentals.net,original,,Yes,construction equipment rental,AI review (name/domain),,Construction equipment rental,
BlueRayne Rentals - Portable Air and Spot Cooling,blueraynerentals.com,blueraynerentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""porta""",
Blues City Bounce,bluescitybounce.com,bluescitybounce.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""bounce""",
BMZ Equipment Rentals,rentbmzequipment.com,rentbmzequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Bob Hegarty's North Jersey Crane Services LLC,hegartycrane.com,hegartycrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Bobcat of Windsor,oakenequipment.ca,,not_found,high,Yes,construction equipment dealer,web search,no,"non-US; Bobcat of Windsor is Windsor, Ontario (Oaken Equipment)",non-US domain
Bobo & Bia’s Party Rentals LLC,boboandbiaspartyrentals.com,boboandbiaspartyrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Bonafide Truck and Heavy Equipment Repair,bonafidetruckandheavyequipmentrepair.com,bonafidetruckandheavyequipmentrepair.com,original,,Yes,,name/domain rules,,"name: ""heavy""",
Boom Daddy Crane Service,boomdaddycraneservice.com,boomdaddycraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Boom Lift Rental,boomliftrental.org,boomliftrental.org,original,,Yes,,name/domain rules,,"name: ""boom (lift|truck)""",
"Bordelon’s Crane Service & Tree Removal, LLC",,bordelonstreeremoval.com,found,high,Yes,crane service / tree removal,web search,yes,Alexandria LA crane & tree removal official site,missing
Boulder Dam Crane Co LLC,,,not_found,medium,Yes,crane service,web search,yes,"Boulder City NV; only Facebook/directories, yahoo email",missing
Bounce Empire LLC,bouncempirellc.com,bouncempirellc.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""bounce""",
Bounce House Captains,bouncehousecaptains.com,bouncehousecaptains.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""bounce""",
Bounce House Kingz,bouncehousekingz.com,bouncehousekingz.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""bounce""",
Bounce House Mission Viejo,bouncehousemissionviejo.com,bouncehousemissionviejo.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""bounce""",
Bounce Kraze Party Rentals LLC,bouncekrazemiami.com,bouncekrazemiami.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
BounceMania Rental,bouncemaniarental.com,bouncemaniarental.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""bounce""",
Bouncey House Rentals,bounceyhouserentals.com,bounceyhouserentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""bounce""",
Boxed Events For Rent,boxedeventsforrent.com,boxedeventsforrent.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
Boxi Inc,,boxi.co,found,high,No,truck billboard advertising,web search,yes,"Boxi Inc, Carson CA box-truck advertising company",missing
Brewer Crane & Rigging,brewercrane.com,brewercrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Broad Reach Crane And Tree Service,brcraneandtree.com,brcraneandtree.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
"Broome County Rental, LLC",broomecountyrental.com,broomecountyrental.com,original,,Yes,general equipment rental,AI review (name/domain),,Rent-all equipment,
Brothers Crane Service LLC,brotherscraneservice.com,brotherscraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Bruce Equipment Rentals,bruceequipmentrentals.com,bruceequipmentrentals.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Bucket Truck NY,buckettruckny.com,buckettruckny.com,original,,Yes,aerial lift rental,AI review (name/domain),,Bucket truck rental,
Buddin's Construction,buddinsconstruction.com,buddinsconstruction.com,original,,No,construction,AI review (name/domain),,General construction,
Budget Dumpster (Newark),budgetdumpster.com,budgetdumpster.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""dumpsters""",
Bukitt Enterprise,,bukitt.com,found,medium,No,travel agency,web search,yes,"Bukitt Enterprise LLC, Coral Gables FL luxury travel",missing
Burn Debris LLC,burndebris.com,burndebris.com,original,,No,land clearing,AI review (name/domain),,Debris burning,
Butch's Crane Services,butchscraneservices.com,butchscraneservices.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
BW Crane Service,,bwcranes.com,found,low,Yes,crane service,web search,yes,BW Crane Services site (CO); Yelp lists BW Crane in Ash Fork AZ,missing
C&C Equipment Solutions LLC.,,,not_found,medium,Yes,trailer rental,name/domain rules,yes,Brownsville TX trailer rental; Facebook/Yelp only,missing
C&C Inflatables Of Middle Georgia LLC,ccinflatablesofmiddlegallc.com,ccinflatablesofmiddlegallc.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""inflatables""",
C.E.N.A CRANE SERVICES CORP.,cenacraneservices.com,cenacraneservices.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
C G Enterprises,,,not_found,low,Unsure,unknown,web search,unknown,Many CG Enterprises; no credible match,missing
C&M Equipment Rental,,,not_found,low,Yes,equipment rental,name/domain rules,yes,"Several C&M firms (LA, OR); Facebook/Yelp only",missing
CABANA-MAN LLC,,cabana-man.com,found,medium,No,beach equipment rental,web search,yes,"CABANA-MAN beach reservations, York Beach Maine",missing
Cal Equipment,cal-equipment.com,cal-equipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
CALEXIC PLUMBING REPAIR SERVICES RESIDENTIAL AND COMMERCIAL.,veritableremodelingcontractor.com,,not_found,medium,No,plumbing,web search,yes,Current domain is Veritable Construction (Calexico); no plumbing site found,domain does not match name
California Equipment Company,californiaequipment.com,californiaequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Callahan Mechanical Services,callahanmechanicals.com,callahanmechanicals.com,original,,No,mechanical contractor,AI review (name/domain),,HVAC/plumbing,
Calumet Crane Service LLC,,calumetcraneservicellc.com,found,high,Yes,crane service,web search,yes,Valparaiso IN crane rental official site,missing
Cambridge Farm Machinery,cambridgefarmmachinery.co.uk,,not_found,high,Yes,ag equipment dealer,web search,no,non-US; UK Cambridgeshire dealer (cambridgefarmmachinery.co.uk),non-US domain
Cammie's Lil Gear Rentals,lilgearrentals.com,lilgearrentals.com,original,,No,baby gear rental,AI review (name/domain),,Baby gear,
Campanoli Crane Service,campanoli.com,campanoli.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Campbell Crane Services,,,not_found,low,Yes,crane service,web search,yes,"Ambiguous: multiple Campbell crane firms (SC, FL, CA)",missing
Can-Pick Crane Rental,canpickcranerental.com,canpickcranerental.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Cana Party Rentals,,,not_found,medium,No,party rental,web search,unknown,Only Punta Cana party rentals found,missing
Canon Image Square,imagesquare.in.canon,imagesquare.in.canon,original,,No,electronics retail,AI review (name/domain),,Canon store,
Capitol Trailer Leasing,capitol.storage,capitol.storage,original,,No,trailer/storage leasing,AI review (name/domain),,Storage trailers,
Card My Yard - Northwest Arkansas,cardmyyard.com,cardmyyard.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""card my yard""",
Carlson Brothers Machining and Excavating llc,,,not_found,medium,Yes,excavation contractor,web search,yes,Beloit/Sharon WI excavating; Facebook/Yelp only,missing
"Carlson Crane Co., Inc.",,carlsoncrane.com,found,medium,Yes,crane service,web search,yes,West Des Moines IA; website cited in search summary,missing
"Caster's Tow & Transport LLC - Roadside Assistance, Emergency Auto Towing & Recovery Service Independence MO",casterstowmo.com,casterstowmo.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""auto(motive)""",
Catamount Crane Company,,bristolcranerentals.com,found,high,Yes,crane service,web search,yes,"Catamount Crane Company, Bristol VT official site",missing
CDA Kids Rental and Play,cdakid.com,cdakid.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""play""",
CDA South Equipment Rental,cdasouth.net,cdasouth.net,original,,Yes,,name/domain rules,,"name: ""equipment""",
Cedarwood equipment rental,,,not_found,low,Yes,equipment rental,name/domain rules,unknown,No Cedarwood match; only Cedar Equipment Rental (UT),missing
CenTex Crane Service,cen-texcraneservice.com,cen-texcraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Central Crane,carolinacentralcrane.com,carolinacentralcrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
